MMSI,first_timestamp,last_timestamp,point_count,duration_hours,start_lat,start_lon,end_lat,end_lon,total_distance_km,mean_sog,width,length,draught,predicted_route,predicted_route_probability,route_distance,route_distance_threshold,route_distance_ratio,anomaly_score,is_anomaly,predicted_anchorage_id,predicted_anchorage_lat,predicted_anchorage_lon,anchorage_distance_km,anchorage_confidence
215207000,2026-01-07 23:00:00,2026-01-09 23:00:00,49,48.0,55.331997,5.960254,57.895004,10.413628,617.1947722460212,7.449153,54.0,398.0,9.9,route_02,0.3657440687870381,13.574915856581216,3.1266177215723197,4.341725489150824,3.4148580996663584,True,anchorage_018,57.70245397308669,10.603166847624228,24.177527380421488,0.0764014099168062
636021041,2026-01-04 04:00:00,2026-01-07 13:00:00,82,81.0,55.776634,15.647478,56.919926,7.3551626,1011.5859340991103,6.942089385370731,25.0,136.0,8.5,route_00,0.5162430235918137,10.365402179286214,3.663217785296076,2.829589390205595,2.2431312867562427,True,anchorage_144,56.792996430379745,7.466185170253165,15.64480763793073,0.11334779279206394
244810323,2026-01-07 17:00:00,2026-01-10 23:00:00,79,78.0,54.500042,7.972153,57.936676,11.370215,520.0888568352,3.7905965245822784,15.0,119.0,4.5,route_03,0.3278654002432859,10.378567976002733,3.8159107527646667,2.719814127854891,2.2078942458303468,True,anchorage_026,57.94302888650963,11.569178693790146,11.764731632087077,0.1452988734874993
248897000,2026-01-01 16:00:00,2026-01-05 03:00:00,84,83.0,54.01368,9.296827,57.128483,7.545849,793.8077839677634,5.4866091642857135,23.0,144.0,6.2,route_04,0.5566840483641836,11.110432686265456,3.998886310705682,2.7783817350648317,2.1946152892075776,True,anchorage_144,56.792996430379745,7.466185170253165,37.61578360263684,0.0504849284330925
273413440,2026-01-01 15:00:00,2026-01-04 04:00:00,62,61.0,55.149487,16.415148,56.792774,7.261052,1074.3371894476627,9.689415514516126,20.0,122.0,6.3,route_09,0.42397280579397917,9.322115542755169,3.7400235578641317,2.492528562595173,2.013403220497885,True,anchorage_144,56.792996430379745,7.466185170253165,12.492197046950102,0.1380052999224781
211302790,2026-01-02 14:00:00,2026-01-06 09:00:00,92,91.0,54.141846,9.3712435,57.02511,7.5613256,751.7376458009569,4.681301386956521,15.0,87.0,4.3,route_04,0.4176048578357284,9.81254939456286,3.998886310705682,2.4538205470590744,1.9859641958353738,True,anchorage_144,56.792996430379745,7.466185170253165,26.448267097814934,0.07030305196177017
255805882,2026-01-04 11:00:00,2026-01-09 19:00:00,129,128.0,55.829857,15.841227,54.77572,15.946553,985.3499673010646,4.3695056814418605,18.0,107.0,5.2,route_00,0.32686837564433063,8.232947450203973,3.663217785296076,2.247463277572658,1.8538803642684107,True,anchorage_106,55.059128416,15.135911152666667,60.63932864252957,0.03192882240826063
261000205,2026-01-01 16:00:00,2026-01-03 16:00:00,49,48.0,55.792957,15.636083,57.004044,7.7715516,728.3330035501369,8.38907232857143,14.0,90.0,5.9,route_00,0.4518501846368654,8.144807585487927,3.663217785296076,2.2234025009871563,1.804589329581151,True,anchorage_144,56.792996430379745,7.466185170253165,29.909674354607954,0.0626769166546254
246512000,2026-01-02 11:00:00,2026-01-07 08:00:00,118,117.0,55.78319,15.619746,58.348022,10.207095,915.3044221963031,4.485816444583051,14.0,109.0,7.0,route_00,0.3640474166622192,7.927951545867474,3.663217785296076,2.1642042626266362,1.7821413428044224,True,anchorage_064,58.18683659881423,11.2086168784585,61.25280012738504,0.031619153554818015
219028116,2026-01-03 05:00:00,2026-01-04 12:00:00,32,31.0,55.060852,16.020853,55.107937,16.37767,833.5355642938259,15.312099787343751,32.0,230.0,6.9,route_06,0.4456392160472458,9.87629051292624,4.795039096516717,2.0596892567780563,1.6833571385717307,True,anchorage_146,55.205532567567566,15.287495499999999,70.10251680282843,0.027738282776857855
